2019.03.21.14.29.34.529, INFO   , Logger filename: BB2019_Log_CALA_Practice14_2019.03.21.14.29.34.430.txt
2019.03.21.14.29.34.553, INFO   , Program date: 1969.12.31.16.00.00.000
2019.03.21.14.29.35.878, INFO   , Lift PIDF set to: 0.6, 0.0, 0.0, 0.5, Idx: 0
2019.03.21.14.29.35.892, INFO   , Lift PIDF set to: 0.9, 0.0, 0.0, 0.5, Idx: 1
2019.03.21.14.29.36.979, INFO   , Hand PIDF set to: 10.0, 0.0, 0.0, 5.0
2019.03.21.14.29.37.681, ERROR  , Exception initializing Driver Camera
2019.03.21.14.29.37.706, ERROR  , [edu.wpi.cscore.CameraServerJNI.getSourceVideoMode(Native Method), edu.wpi.cscore.VideoSource.getVideoMode(VideoSource.java:214), org.usfirst.frc330.subsystems.Frills.initDriverCamera(Frills.java:121), org.usfirst.frc330.Robot.robotInit(Robot.java:79), edu.wpi.first.wpilibj.TimedRobot.startCompetition(TimedRobot.java:63), edu.wpi.first.wpilibj.RobotBase.startRobot(RobotBase.java:263), org.usfirst.frc330.Main.main(Main.java:31)]
2019.03.21.14.29.37.752, INFO   , BeachbotLib Version:                2019.2.0
2019.03.21.14.29.37.753, INFO   , WPILib Version:                     2019.4.1
2019.03.21.14.29.38.013, INFO   , NavX Firmware Version:              3.1
2019.03.21.14.29.38.048, INFO   , Talon Intake Firmware Version:      4.17
2019.03.21.14.29.38.052, INFO   , Talon Hand Firmware Version:        4.17
2019.03.21.14.29.38.061, INFO   , Talon Lift1 Firmware Version:       4.17
2019.03.21.14.29.38.066, INFO   , Talon Lift2 Firmware Version:       4.17
2019.03.21.14.29.38.069, INFO   , Talon Lift3 Firmware Version:       4.17
2019.03.21.14.29.38.070, DEBUG  , Competition Robot Detected
2019.03.21.14.29.38.230, INFO   , Disabled Init
2019.03.21.14.29.38.248, INFO   , Battery Voltage: 12.649025878906249
2019.03.21.14.29.38.250, INFO   , Lift disabled
2019.03.21.14.29.38.253, INFO   , Hand disabled
2019.03.21.14.29.38.254, INFO   , Turning Roller off
2019.03.21.14.29.38.268, INFO   , Turning Claw off
2019.03.21.14.29.38.274, INFO   , Limelight lights disabled
2019.03.21.14.29.38.293, INFO   , New pipeline: 0.0
2019.03.21.14.30.53.400, INFO   , Autonomous Init
2019.03.21.14.30.53.403, INFO   , Limelight lights enabled
2019.03.21.14.30.53.408, INFO   , New pipeline: 1.0
2019.03.21.14.30.53.413, INFO   , Running Auto: Hab2TwoHatch
2019.03.21.14.30.53.591, INFO   , Event: CALA Match Type: Practice Match Number: 14
2019.03.21.14.30.53.602, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.03.21.14.30.53.614, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.03.21.14.30.53.615, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.03.21.14.30.53.618, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.03.21.14.30.53.619, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.03.21.14.30.53.619, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.03.21.14.30.53.629, INFO   , Target acquired
2019.03.21.14.30.53.643, COMMAND, org.usfirst.frc330.autoCommands.Hab2TwoHatch initialized
2019.03.21.14.30.53.644, COMMAND, org.usfirst.frc330.commands.ShiftLow initialized
2019.03.21.14.30.53.646, COMMAND, org.usfirst.frc330.commands.ShiftLow ended
2019.03.21.14.30.53.647, COMMAND, org.usfirst.frc330.commands.drivecommands.DriveDistanceAtCurAngle initialized
2019.03.21.14.30.53.649, INFO   , Changing LeftDrive Gains to DriveLow. P=0.1 MaxOutput=0.9 MaxOutputStep=0.04
2019.03.21.14.30.53.650, INFO   , Changing RightDrive Gains to DriveLow. P=0.1 MaxOutput=0.9 MaxOutputStep=0.04
2019.03.21.14.30.53.653, INFO   , Changing Gyro Gains to GyroDriveLow. P=0.01 MaxOutput=1.0 MaxOutputStep=1.0
2019.03.21.14.30.53.653, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense initialized
2019.03.21.14.30.53.654, COMMAND, org.usfirst.frc330.commands.RollerOff initialized
2019.03.21.14.30.53.654, INFO   , Turning Roller off
2019.03.21.14.30.53.654, COMMAND, org.usfirst.frc330.commands.RollerOff ended
2019.03.21.14.30.53.655, COMMAND, org.usfirst.frc330.commands.CloseClaw initialized
2019.03.21.14.30.53.656, INFO   , CLosing Claw
2019.03.21.14.30.53.661, COMMAND, org.usfirst.frc330.commands.CloseClaw ended
2019.03.21.14.30.53.662, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.03.21.14.30.54.179, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.03.21.14.30.54.180, COMMAND, org.usfirst.frc330.commands.SetLiftPosition initialized
2019.03.21.14.30.54.186, INFO   , Lift Setpoint: 0.0
2019.03.21.14.30.54.189, INFO   , Lift Final Position: 0.0
2019.03.21.14.30.54.190, COMMAND, org.usfirst.frc330.commands.SetLiftPosition ended
2019.03.21.14.30.54.190, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.03.21.14.30.54.194, INFO   , Setting hand angle to: 57.0
2019.03.21.14.30.54.320, INFO   , Final hand setpoint: 57.120703125
2019.03.21.14.30.54.323, INFO   , Final hand angle: 57.648046875
2019.03.21.14.30.54.324, COMMAND, org.usfirst.frc330.commands.SetHandAngle ended
2019.03.21.14.30.54.324, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense ended
2019.03.21.14.30.54.866, INFO   , DriveDistance Left Setpoint: 90.0 Left: 87.17766215632888 Right Setpoint: 90.0 Right: 84.76317639619687
